"id","Kunta","Kuukausi","maakunta_id","Maakunta","Kuntien välinen nettomuutto","muutos"
"837","Tampere",2024-07-01,"06","Pirkanmaa","566",2930
"091","Helsinki",2024-07-01,"01","Uusimaa","280",2682
"049","Espoo",2024-07-01,"01","Uusimaa","59",1924
"853","Turku",2024-07-01,"02","Varsinais-Suomi","87",1674
"858","Tuusula",2024-07-01,"01","Uusimaa","20",831
"211","Kangasala",2024-07-01,"06","Pirkanmaa","1",450
"297","Kuopio",2024-07-01,"11","Pohjois-Savo","13",426
"536","Nokia",2024-07-01,"06","Pirkanmaa","56",418
"604","Pirkkala",2024-07-01,"06","Pirkanmaa","13",239
"202","Kaarina",2024-07-01,"02","Varsinais-Suomi","37",206
"564","Oulu",2024-07-01,"17","Pohjois-Pohjanmaa","-12",195
"753","Sipoo",2024-07-01,"01","Uusimaa","3",161
"609","Pori",2024-07-01,"04","Satakunta","-3",144
"743","Seinäjoki",2024-07-01,"14","Etelä-Pohjanmaa","-15",144
"529","Naantali",2024-07-01,"02","Varsinais-Suomi","9",128
"148","Inari",2024-07-01,"19","Lappi","-3",81
"111","Heinola",2024-07-01,"07","Päijät-Häme","1",79
"423","Lieto",2024-07-01,"02","Varsinais-Suomi","0",66
"108","Hämeenkyrö",2024-07-01,"06","Pirkanmaa","-20",64
"261","Kittilä",2024-07-01,"19","Lappi","-9",56
"244","Kempele",2024-07-01,"17","Pohjois-Pohjanmaa","26",52
"500","Muurame",2024-07-01,"13","Keski-Suomi","23",43
"170","Jomala",2024-07-01,"21","Ahvenanmaa","5",42
"623","Puumala",2024-07-01,"10","Etelä-Savo","4",37
"444","Lohja",2024-07-01,"01","Uusimaa","50",35
"078","Hanko",2024-07-01,"01","Uusimaa","-9",32
"019","Aura",2024-07-01,"02","Varsinais-Suomi","12",31
"426","Liperi",2024-07-01,"12","Pohjois-Karjala","13",31
"758","Sodankylä",2024-07-01,"19","Lappi","11",31
"781","Sysmä",2024-07-01,"07","Päijät-Häme","9",30
"921","Vesanto",2024-07-01,"11","Pohjois-Savo","0",26
"106","Hyvinkää",2024-07-01,"01","Uusimaa","10",25
"020","Akaa",2024-07-01,"06","Pirkanmaa","6",23
"043","Eckerö",2024-07-01,"21","Ahvenanmaa","5",21
"503","Mynämäki",2024-07-01,"02","Varsinais-Suomi","3",20
"435","Luhanka",2024-07-01,"13","Keski-Suomi","-1",17
"625","Pyhäjoki",2024-07-01,"17","Pohjois-Pohjanmaa","11",17
"977","Ylivieska",2024-07-01,"17","Pohjois-Pohjanmaa","7",17
"433","Loppi",2024-07-01,"05","Kanta-Häme","2",16
"498","Muonio",2024-07-01,"19","Lappi","2",16
"702","Ruovesi",2024-07-01,"06","Pirkanmaa","-6",16
"922","Vesilahti",2024-07-01,"06","Pirkanmaa","-2",16
"146","Ilomantsi",2024-07-01,"12","Pohjois-Karjala","8",15
"149","Inkoo",2024-07-01,"01","Uusimaa","11",15
"768","Sulkava",2024-07-01,"10","Etelä-Savo","-5",15
"082","Hattula",2024-07-01,"05","Kanta-Häme","4",14
"844","Tervo",2024-07-01,"11","Pohjois-Savo","-9",12
"976","Ylitornio",2024-07-01,"19","Lappi","7",11
"257","Kirkkonummi",2024-07-01,"01","Uusimaa","2",10
"583","Pelkosenniemi",2024-07-01,"19","Lappi","11",10
"697","Ristijärvi",2024-07-01,"18","Kainuu","7",10
"079","Harjavalta",2024-07-01,"04","Satakunta","-8",9
"833","Taivassalo",2024-07-01,"02","Varsinais-Suomi","3",9
"416","Lemi",2024-07-01,"09","Etelä-Karjala","2",8
"771","Sund",2024-07-01,"21","Ahvenanmaa","3",8
"941","Vårdö",2024-07-01,"21","Ahvenanmaa","0",8
"081","Hartola",2024-07-01,"07","Päijät-Häme","0",7
"171","Joroinen",2024-07-01,"11","Pohjois-Savo","6",7
"407","Lapinjärvi",2024-07-01,"01","Uusimaa","-3",7
"438","Lumparland",2024-07-01,"21","Ahvenanmaa","6",6
