"source","target","value"
"Ylöjärvi","Forssa",1
"Ylöjärvi","Helsinki",1
"Ylöjärvi","Huittinen",1
"Ylöjärvi","Hämeenkyrö",11
"Ylöjärvi","Ikaalinen",4
"Ylöjärvi","Jyväskylä",1
"Ylöjärvi","Kangasala",6
"Ylöjärvi","Kauhajoki",2
"Ylöjärvi","Kokemäki",1
"Ylöjärvi","Kuopio",1
"Ylöjärvi","Lempäälä",3
"Ylöjärvi","Mynämäki",1
"Ylöjärvi","Mänttä-Vilppula",2
"Ylöjärvi","Nokia",10
"Ylöjärvi","Parkano",3
"Ylöjärvi","Pirkkala",3
"Ylöjärvi","Pori",1
"Ylöjärvi","Pälkäne",1
"Ylöjärvi","Riihimäki",1
"Ylöjärvi","Sastamala",5
"Ylöjärvi","Savonlinna",1
"Ylöjärvi","Seinäjoki",2
"Ylöjärvi","Sodankylä",1
"Ylöjärvi","Tampere",75
"Ylöjärvi","Turku",1
"Ylöjärvi","Vaasa",1
"Ylöjärvi","Valkeakoski",1
"Ylöjärvi","Vantaa",2
"Helsinki","Ylöjärvi",6
"Hyvinkää","Ylöjärvi",1
"Hämeenkyrö","Ylöjärvi",1
"Ikaalinen","Ylöjärvi",3
"Jyväskylä","Ylöjärvi",2
"Jämijärvi","Ylöjärvi",1
"Kangasala","Ylöjärvi",3
"Kankaanpää","Ylöjärvi",1
"Lempäälä","Ylöjärvi",1
"Luumäki","Ylöjärvi",1
"Nokia","Ylöjärvi",9
"Orivesi","Ylöjärvi",5
"Parkano","Ylöjärvi",2
"Pirkkala","Ylöjärvi",2
"Pori","Ylöjärvi",2
"Sastamala","Ylöjärvi",4
"Tampere","Ylöjärvi",69
"Vaasa","Ylöjärvi",3
