"id","Kunta","maakunta_id","Maakunta","Väestö 31.12.","Ennakkotieto","muutos"
"231","Kaskinen","15","Pohjanmaa","1208","1248",3.31
"858","Tuusula","01","Uusimaa","41338","42226",2.15
"905","Vaasa","15","Pohjanmaa","68956","70380",2.07
"853","Turku","02","Varsinais-Suomi","201863","206010",2.05
"049","Espoo","01","Uusimaa","314024","320392",2.03
"837","Tampere","06","Pirkanmaa","255050","260049",1.96
"092","Vantaa","01","Uusimaa","247443","251244",1.54
"536","Nokia","06","Pirkanmaa","35647","36141",1.39
"680","Raisio","02","Varsinais-Suomi","25331","25682",1.39
"091","Helsinki","01","Uusimaa","674500","683605",1.35
"211","Kangasala","06","Pirkanmaa","33473","33926",1.35
"604","Pirkkala","06","Pirkanmaa","20763","21043",1.35
"297","Kuopio","11","Pohjois-Savo","124021","125632",1.3
"170","Jomala","21","Ahvenanmaa","5697","5769",1.26
"257","Kirkkonummi","01","Uusimaa","41154","41656",1.22
"148","Inari","19","Lappi","7127","7212",1.19
"043","Eckerö","21","Ahvenanmaa","942","953",1.17
"179","Jyväskylä","13","Keski-Suomi","147746","149366",1.1
"753","Sipoo","01","Uusimaa","22595","22837",1.07
"593","Pieksämäki","10","Etelä-Savo","17050","17219",0.99
"167","Joensuu","12","Pohjois-Karjala","78062","78744",0.87
"060","Finström","21","Ahvenanmaa","2610","2632",0.84
"186","Järvenpää","01","Uusimaa","46490","46881",0.84
"922","Vesilahti","06","Pirkanmaa","4469","4506",0.83
"638","Porvoo","01","Uusimaa","51289","51704",0.81
"892","Uurainen","13","Keski-Suomi","3615","3644",0.8
"478","Maarianhamina - Mariehamn","21","Ahvenanmaa","11812","11900",0.75
"435","Luhanka","13","Keski-Suomi","702","707",0.71
"564","Oulu","17","Pohjois-Pohjanmaa","214633","216150",0.71
"440","Luoto","15","Pohjanmaa","5843","5882",0.67
"908","Valkeakoski","06","Pirkanmaa","20694","20832",0.67
"410","Laukaa","13","Keski-Suomi","18762","18886",0.66
"698","Rovaniemi","19","Lappi","65286","65712",0.65
"172","Joutsa","13","Keski-Suomi","4079","4105",0.64
"202","Kaarina","02","Varsinais-Suomi","36339","36567",0.63
"304","Kustavi","02","Varsinais-Suomi","949","955",0.63
"743","Seinäjoki","14","Etelä-Pohjanmaa","66160","66580",0.63
"145","Ilmajoki","14","Etelä-Pohjanmaa","12343","12419",0.62
"214","Kankaanpää","04","Satakunta","12394","12471",0.62
"398","Lahti","07","Päijät-Häme","120693","121430",0.61
"309","Outokumpu","12","Pohjois-Karjala","6409","6448",0.61
"400","Laitila","02","Varsinais-Suomi","8441","8492",0.6
"405","Lappeenranta","09","Etelä-Karjala","72988","73425",0.6
