"age","sex","category","population"
0,"Miehet","v1990",174
0,"Miehet","v2010",200
0,"Miehet","v2024",152
1,"Miehet","v1990",175
1,"Miehet","v2010",258
1,"Miehet","v2024",183
2,"Miehet","v1990",183
2,"Miehet","v2010",233
2,"Miehet","v2024",169
3,"Miehet","v1990",180
3,"Miehet","v2010",245
3,"Miehet","v2024",199
4,"Miehet","v1990",176
4,"Miehet","v2010",249
4,"Miehet","v2024",198
5,"Miehet","v1990",177
5,"Miehet","v2010",213
5,"Miehet","v2024",184
6,"Miehet","v1990",176
6,"Miehet","v2010",255
6,"Miehet","v2024",205
7,"Miehet","v1990",206
7,"Miehet","v2010",231
7,"Miehet","v2024",200
8,"Miehet","v1990",195
8,"Miehet","v2010",250
8,"Miehet","v2024",247
9,"Miehet","v1990",194
9,"Miehet","v2010",246
9,"Miehet","v2024",237
10,"Miehet","v1990",153
10,"Miehet","v2010",225
10,"Miehet","v2024",226
11,"Miehet","v1990",199
11,"Miehet","v2010",194
11,"Miehet","v2024",253
12,"Miehet","v1990",172
12,"Miehet","v2010",209
12,"Miehet","v2024",270
13,"Miehet","v1990",179
13,"Miehet","v2010",240
13,"Miehet","v2024",256
14,"Miehet","v1990",186
14,"Miehet","v2010",204
14,"Miehet","v2024",247
15,"Miehet","v1990",150
15,"Miehet","v2010",209
15,"Miehet","v2024",284
16,"Miehet","v1990",183
16,"Miehet","v2010",234
16,"Miehet","v2024",255
17,"Miehet","v1990",145
17,"Miehet","v2010",217
17,"Miehet","v2024",249
18,"Miehet","v1990",166
18,"Miehet","v2010",184
18,"Miehet","v2024",242
19,"Miehet","v1990",145
19,"Miehet","v2010",179
19,"Miehet","v2024",181
20,"Miehet","v1990",137
20,"Miehet","v2010",165
20,"Miehet","v2024",171
21,"Miehet","v1990",131
21,"Miehet","v2010",123
21,"Miehet","v2024",146
22,"Miehet","v1990",160
22,"Miehet","v2010",124
22,"Miehet","v2024",113
23,"Miehet","v1990",159
23,"Miehet","v2010",113
23,"Miehet","v2024",104
24,"Miehet","v1990",151
24,"Miehet","v2010",106
24,"Miehet","v2024",104
25,"Miehet","v1990",141
25,"Miehet","v2010",122
25,"Miehet","v2024",113
26,"Miehet","v1990",160
26,"Miehet","v2010",141
26,"Miehet","v2024",100
27,"Miehet","v1990",164
27,"Miehet","v2010",148
27,"Miehet","v2024",149
28,"Miehet","v1990",186
28,"Miehet","v2010",178
28,"Miehet","v2024",148
29,"Miehet","v1990",213
29,"Miehet","v2010",178
29,"Miehet","v2024",163
30,"Miehet","v1990",196
30,"Miehet","v2010",171
30,"Miehet","v2024",181
31,"Miehet","v1990",217
31,"Miehet","v2010",218
