"id","Kunta","Kuukausi","maakunta_id","Maakunta","muutos"
"176","Juuka","2024M12","12","Pohjois-Karjala",21
"620","Puolanka","2024M12","18","Kainuu",21
"309","Outokumpu","2024M12","12","Pohjois-Karjala",19
"422","Lieksa","2024M12","12","Pohjois-Karjala",18.8
"153","Imatra","2024M12","09","Etelä-Karjala",18.7
"707","Rääkkylä","2024M12","12","Pohjois-Karjala",18.6
"260","Kitee","2024M12","12","Pohjois-Karjala",18.1
"615","Pudasjärvi","2024M12","17","Pohjois-Pohjanmaa",18.1
"146","Ilomantsi","2024M12","12","Pohjois-Karjala",17.9
"832","Taivalkoski","2024M12","17","Pohjois-Pohjanmaa",17.7
"689","Rautjärvi","2024M12","09","Etelä-Karjala",17.6
"992","Äänekoski","2024M12","13","Keski-Suomi",17.4
"848","Tohmajärvi","2024M12","12","Pohjois-Karjala",17.2
"915","Varkaus","2024M12","11","Pohjois-Savo",17.1
"785","Vaala","2024M12","17","Pohjois-Pohjanmaa",16.8
"111","Heinola","2024M12","07","Päijät-Häme",16.6
"729","Saarijärvi","2024M12","13","Keski-Suomi",16.5
"320","Kemijärvi","2024M12","19","Lappi",16.4
"167","Joensuu","2024M12","12","Pohjois-Karjala",16.3
"541","Nurmes","2024M12","12","Pohjois-Karjala",16
"285","Kotka","2024M12","08","Kymenlaakso",15.9
"398","Lahti","2024M12","07","Päijät-Häme",15.9
"240","Kemi","2024M12","19","Lappi",15.7
"179","Jyväskylä","2024M12","13","Keski-Suomi",15.4
"275","Konnevesi","2024M12","13","Keski-Suomi",15.3
"139","Ii","2024M12","17","Pohjois-Pohjanmaa",15
"204","Kaavi","2024M12","11","Pohjois-Savo",15
"740","Savonlinna","2024M12","10","Etelä-Savo",15
"935","Virolahti","2024M12","08","Kymenlaakso",15
"576","Padasjoki","2024M12","07","Päijät-Häme",14.9
"607","Polvijärvi","2024M12","12","Pohjois-Karjala",14.9
"777","Suomussalmi","2024M12","18","Kainuu",14.9
"061","Forssa","2024M12","05","Kanta-Häme",14.8
"853","Turku","2024M12","02","Varsinais-Suomi",14.8
"075","Hamina","2024M12","08","Kymenlaakso",14.5
"172","Joutsa","2024M12","13","Keski-Suomi",14.5
"687","Rautavaara","2024M12","11","Pohjois-Savo",14.5
"732","Salla","2024M12","19","Lappi",14.5
"140","Iisalmi","2024M12","11","Pohjois-Savo",14.3
"286","Kouvola","2024M12","08","Kymenlaakso",14.1
"405","Lappeenranta","2024M12","09","Etelä-Karjala",14.1
"564","Oulu","2024M12","17","Pohjois-Pohjanmaa",14.1
"609","Pori","2024M12","04","Satakunta",14.1
"626","Pyhäjärvi","2024M12","17","Pohjois-Pohjanmaa",14.1
"837","Tampere","2024M12","06","Pirkanmaa",14.1
"256","Kinnula","2024M12","13","Keski-Suomi",14
"081","Hartola","2024M12","07","Päijät-Häme",13.8
"426","Liperi","2024M12","12","Pohjois-Karjala",13.8
"921","Vesanto","2024M12","11","Pohjois-Savo",13.8
"182","Jämsä","2024M12","13","Keski-Suomi",13.7
"224","Karkkila","2024M12","01","Uusimaa",13.5
"768","Sulkava","2024M12","10","Etelä-Savo",13.5
"092","Vantaa","2024M12","01","Uusimaa",13.5
"560","Orimattila","2024M12","07","Päijät-Häme",13.4
"290","Kuhmo","2024M12","18","Kainuu",13.3
"484","Merikarvia","2024M12","04","Satakunta",13.3
"105","Hyrynsalmi","2024M12","18","Kainuu",13.2
"489","Miehikkälä","2024M12","08","Kymenlaakso",13.2
"678","Raahe","2024M12","17","Pohjois-Pohjanmaa",13.1
"700","Ruokolahti","2024M12","09","Etelä-Karjala",13.1
"742","Savukoski","2024M12","19","Lappi",13
"908","Valkeakoski","2024M12","06","Pirkanmaa",13
"143","Ikaalinen","2024M12","06","Pirkanmaa",12.9
"216","Kannonkoski","2024M12","13","Keski-Suomi",12.9
"762","Sonkajärvi","2024M12","11","Pohjois-Savo",12.9
"781","Sysmä","2024M12","07","Päijät-Häme",12.9
"889","Utajärvi","2024M12","17","Pohjois-Pohjanmaa",12.9
"214","Kankaanpää","2024M12","04","Satakunta",12.8
"316","Kärkölä","2024M12","07","Päijät-Häme",12.8
"265","Kivijärvi","2024M12","13","Keski-Suomi",12.8
"608","Pomarkku","2024M12","04","Satakunta",12.8
"077","Hankasalmi","2024M12","13","Keski-Suomi",12.7
"142","Iitti","2024M12","07","Päijät-Häme",12.7
"747","Siikainen","2024M12","04","Satakunta",12.7
"508","Mänttä-Vilppula","2024M12","06","Pirkanmaa",12.6
"108","Hämeenkyrö","2024M12","06","Pirkanmaa",12.5
"091","Helsinki","2024M12","01","Uusimaa",12.5
"245","Kerava","2024M12","01","Uusimaa",12.5
"491","Mikkeli","2024M12","10","Etelä-Savo",12.5
"046","Enonkoski","2024M12","10","Etelä-Savo",12.4
"090","Heinävesi","2024M12","12","Pohjois-Karjala",12.4
"297","Kuopio","2024M12","11","Pohjois-Savo",12.4
"580","Parikkala","2024M12","09","Etelä-Karjala",12.4
"601","Pihtipudas","2024M12","13","Keski-Suomi",12.4
"079","Harjavalta","2024M12","04","Satakunta",12.3
"186","Järvenpää","2024M12","01","Uusimaa",12.3
"205","Kajaani","2024M12","18","Kainuu",12.3
"614","Posio","2024M12","19","Lappi",12.3
"976","Ylitornio","2024M12","19","Lappi",12.3
"249","Keuruu","2024M12","13","Keski-Suomi",12.2
"598","Pietarsaari","2024M12","15","Pohjanmaa",12.2
"694","Riihimäki","2024M12","05","Kanta-Häme",12.2
"846","Teuva","2024M12","14","Etelä-Pohjanmaa",12.2
"434","Loviisa","2024M12","01","Uusimaa",12.1
"931","Viitasaari","2024M12","13","Keski-Suomi",12.1
"109","Hämeenlinna","2024M12","05","Kanta-Häme",12
"226","Karstula","2024M12","13","Keski-Suomi",12
"239","Keitele","2024M12","11","Pohjois-Savo",12
"263","Kiuruvesi","2024M12","11","Pohjois-Savo",12
"305","Kuusamo","2024M12","17","Pohjois-Pohjanmaa",12
"592","Petäjävesi","2024M12","13","Keski-Suomi",12
"593","Pieksämäki","2024M12","10","Etelä-Savo",12
"681","Rantasalmi","2024M12","10","Etelä-Savo",12
"739","Savitaipale","2024M12","09","Etelä-Karjala",12
"833","Taivassalo","2024M12","02","Varsinais-Suomi",12
"231","Kaskinen","2024M12","15","Pohjanmaa",11.9
"213","Kangasniemi","2024M12","10","Etelä-Savo",11.8
"410","Laukaa","2024M12","13","Keski-Suomi",11.8
"504","Myrskylä","2024M12","01","Uusimaa",11.8
"581","Parkano","2024M12","06","Pirkanmaa",11.8
"697","Ristijärvi","2024M12","18","Kainuu",11.8
"702","Ruovesi","2024M12","06","Pirkanmaa",11.8
"844","Tervo","2024M12","11","Pohjois-Savo",11.8
"887","Urjala","2024M12","06","Pirkanmaa",11.8
"069","Haapajärvi","2024M12","17","Pohjois-Pohjanmaa",11.7
"430","Loimaa","2024M12","02","Varsinais-Suomi",11.7
"441","Luumäki","2024M12","09","Etelä-Karjala",11.7
"578","Paltamo","2024M12","18","Kainuu",11.7
"734","Salo","2024M12","02","Varsinais-Suomi",11.7
"106","Hyvinkää","2024M12","01","Uusimaa",11.6
"171","Joroinen","2024M12","11","Pohjois-Savo",11.6
"420","Leppävirta","2024M12","11","Pohjois-Savo",11.6
"507","Mäntyharju","2024M12","10","Etelä-Savo",11.6
"562","Orivesi","2024M12","06","Pirkanmaa",11.6
"625","Pyhäjoki","2024M12","17","Pohjois-Pohjanmaa",11.6
"072","Hailuoto","2024M12","17","Pohjois-Pohjanmaa",11.5
"536","Nokia","2024M12","06","Pirkanmaa",11.5
"857","Tuusniemi","2024M12","11","Pohjois-Savo",11.5
"010","Alavus","2024M12","14","Etelä-Pohjanmaa",11.4
"304","Kustavi","2024M12","02","Varsinais-Suomi",11.3
"416","Lemi","2024M12","09","Etelä-Karjala",11.3
"624","Pyhtää","2024M12","08","Kymenlaakso",11.3
"761","Somero","2024M12","02","Varsinais-Suomi",11.3
"892","Uurainen","2024M12","13","Keski-Suomi",11.3
"016","Asikkala","2024M12","07","Päijät-Häme",11.2
"317","Kärsämäki","2024M12","17","Pohjois-Pohjanmaa",11.2
"790","Sastamala","2024M12","06","Pirkanmaa",11.2
"895","Uusikaupunki","2024M12","02","Varsinais-Suomi",11.2
"271","Kokemäki","2024M12","04","Satakunta",11.1
"683","Ranua","2024M12","19","Lappi",11.1
"444","Lohja","2024M12","01","Uusimaa",11
"854","Pello","2024M12","19","Lappi",11
"595","Pielavesi","2024M12","11","Pohjois-Savo",11
"049","Espoo","2024M12","01","Uusimaa",10.9
"435","Luhanka","2024M12","13","Keski-Suomi",10.9
"616","Pukkila","2024M12","01","Uusimaa",10.9
"831","Taipalsaari","2024M12","09","Etelä-Karjala",10.9
"925","Vieremä","2024M12","11","Pohjois-Savo",10.9
"494","Muhos","2024M12","17","Pohjois-Pohjanmaa",10.8
"686","Rautalampi","2024M12","11","Pohjois-Savo",10.8
"276","Kontiolahti","2024M12","12","Pohjois-Karjala",10.7
"584","Perho","2024M12","16","Keski-Pohjanmaa",10.7
"746","Sievi","2024M12","17","Pohjois-Pohjanmaa",10.7
"020","Akaa","2024M12","06","Pirkanmaa",10.6
"232","Kauhajoki","2024M12","14","Etelä-Pohjanmaa",10.6
"402","Lapinlahti","2024M12","11","Pohjois-Savo",10.6
"495","Multia","2024M12","13","Keski-Suomi",10.6
